小韻次序	代表字	全部字	反切	編碼	切韻拼音	unt切韻擬音J	unt切韻擬音L	unt切韻通俗擬音	潘悟雲擬音
519	豩	豩	呼關	idI	hwaen	χwaˤn	χwaˤn	xuæn	hʷɣæn˧
520	㨜	㨜	几焉	dfE	kyen	kɹen	kɹen	kɨen	kɣiᴇn˧
529	頑	頑	吳鱞	geI	ngween	ɴweˤn	ɴweˤn	ŋuɛn	ŋʷɣɛn˧
536	譠	譠	丑山	KeA	trheen	ʈʰeˤn	ʈʰeˤn	ʈʰɛn	ʈʰɣɛn˧
713	虵	虵	夷柯	lmA	jya	ja	ja	jɨɑ	jɨɑ˧
779	笘	笘	倉甘	O3A	tsham	tsʰam	tsʰam	tsʰam	tsʰɑm˧
915	鯖	鯖	於形	hvA	qeng	ʔeŋ	ʡeŋ	ʔeŋ	ʔeŋ˧
938	𠠳	𠠳𦫶朻㽱	居虯	d0A	kiw	kiw	kiw	kiw	kiu˧
1348	抧	抧	側解	SPB	tsreeq	tʂéˤ	tʂéˤ	tʂɛ́	tʂɣɛ˧˥
1354	𧡋	𧡋	牛買	gPB	ngeeq	ɴéˤ	ɴéˤ	ŋɛ́	ŋɣɛ˧˥
1360	鍇	鍇	古駭	dQB	keejq	qéˤj	qéˤj	kɛ́j	kɣɛi˧˥
1422	輑	輑	牛隕	gVN	nguinq	ŋɹwín	ŋɹwín	ŋʉín	ŋʷɣin˧˥
1436	脪	脪炘	興近	iYB	hynq	xɨ́n	xɨ́n	xɨ́n	hɨn˧˥
1572	𢵈	𢵈	基善	dfB	kienq	kjén	kjén	kién	kiᴇn˧˥
1726	𠿑	𠿑	工覽	d3B	kamq	qám	qám	kám	kɑm˧˥
1876	愀	愀	茲糾	N0B	tsiwq	tsjú	tsjú	tsíw	tsiu˧˥
1955	險	險	希埯	i8B	hyomq	xɣə́m	xə́m	xɨə́m	hɨam˧˥
2034	㑥	㑥伿㒾	神伎	bFC	zjieh	ʑìe	ʑìe	ʑiè	ʑiᴇ˥˩
2054	縻	縻	靡寄	DFG	myeh	mɹìe	mɹìe	mɨè	mɣiᴇ˥˩
2137	䔬	䔬	焉記	kHC	yh	ɨ̀	ɨ̀	ɨ̀	ɦɨ˥˩
2343	瘥	瘥	楚介	TQC	tsrheejh	tʂʰèˤj	tʂʰèˤj	tʂʰɛ̀j	tʂʰɣɛi˥˩
2398	瞥	瞥	孚吠	BNC	phiejh	pʰjèj	pʰjèj	pʰièj	pʰiᴇi˥˩
2419	韻	韻	爲捃	kVK	uinh	wɹìn	wɹìn	ʉìn	ɦʷin˥˩
2430	攈	攈捃	居韻	dVO	kuinh	kɹwìn	kɹwìn	kʉìn	kʷɣin˥˩
2536	羼	羼	初莧	TeC	tsrheenh	tʂʰèˤn	tʂʰèˤn	tʂʰɛ̀n	tʂʰɣɛn˥˩
2635	驃	驃		AiC	piewh	pjèw	pjèw	pièw	piᴇu˥˩
2636	覞	覞	昌召	YiC	tjhiewh	tɕʰèw	tɕʰèw	tɕʰièw	tɕʰiᴇu˥˩
2671	韜	韜	他到	FkC	thawh	tʰə̀w	tʰə̀w	tʰàw	tʰɑu˥˩
2817	鞕	鞕	五孟	grC	ngaengh	ɴàˤŋ	ɴàˤŋ	ŋæ̀ŋ	ŋɣæŋ˥˩
2838	牚	牚	丑迸	KtC	trheengh	ʈʰèˤŋ	ʈʰèˤŋ	ʈʰɛ̀ŋ	ʈʰɣɛŋ˥˩
2867	熒	熒	胡定	jvK	ghwengh	ʁwèŋ	ʁwèŋ	ɣuèŋ	ɦʷeŋ˥˩
2992	闞	闞	火陷	i6C	heemh	χèˤm	χèˤm	xɛ̀m	hɣɛm˥˩
3138	𧽻	𧽻僪趉𢵮𧾣	其聿	fVL	gwit	ɡwit	ɡwit	ɡyit	ɡʷit꜊
3152	茁	茁	几律	dVP	kuit	kɹwit	kɹwit	kʉit	kʷɣit꜊
3155	絀	絀	式出	aVL	sjwit	ɕwit	ɕwit	ɕyit	ɕʷit꜊
3191	䡾	䡾	語謁	gZD	ngyot	ŋɣət	ŋət	ŋɨət	ŋɨɤt꜊
3270	𤷈	𤷈	女鎋	MdD	nraet	ɳaˤt	ɳaˤt	ɳæt	ɳɣæt꜊
3281	䔾	䔾䅥	袪刹	edD	khaet	qʰaˤt	qʰaˤt	kʰæt	kʰɣæt꜊
3340	嫳	嫳	扶別	CfD	biet	bjet	bjet	biet	biᴇt꜊
3350	啜	啜	處雪	YfL	tjhwiet	tɕʰwet	tɕʰwet	tɕʰyet	tɕʰʷiᴇt꜊
3487	𦦱	𦦱	初甲	T7D	tsrhaep	tʂʰaˤp	tʂʰaˤp	tʂʰæp	tʂʰɣæp꜊
3490	渫	渫	士甲	U7D	dzraep	dʐaˤp	dʐaˤp	dʐæp	dʐɣæp꜊
3517	擪	擪靨	於協	h5D	qep	ʔep	ʡep	ʔep	ʔep꜊
3529	褶	褶	神執	b1D	zjip	ʑip	ʑip	ʑip	ʑip꜊
